time,seconds_elapsed,z,y,x
1773251418440855800,0.057855712890625,-0.49920654296875,-1.0058135986328125,-0.1714935302734375
1773251418450891800,0.067891845703125,-0.4960479736328125,-1.0374603271484375,-0.182647705078125
1773251418460928800,0.0779287109375,-0.49420166015625,-1.055816650390625,-0.15460205078125
1773251418470964700,0.08796484375,-0.498046875,-1.0505218505859375,-0.154205322265625
1773251418481000700,0.098000732421875,-0.5255279541015625,-1.0456390380859375,-0.1460113525390625
1773251418491037700,0.10803759765625,-0.561859130859375,-1.0406646728515625,-0.1125640869140625
1773251418501073700,0.11807373046875,-0.5945587158203125,-1.0218505859375,-0.04315185546875
1773251418511110700,0.128110595703125,-0.602203369140625,-1.0023040771484375,0.0194244384765625
1773251418521146600,0.138146728515625,-0.6001434326171875,-1.0088043212890625,0.0241546630859375
1773251418531182600,0.1481826171875,-0.593658447265625,-1.0431365966796875,-0.03759765625
1773251418541219600,0.158219482421875,-0.58917236328125,-1.089263916015625,-0.130889892578125
1773251418551255800,0.168255859375,-0.58538818359375,-1.1296844482421875,-0.2018585205078125
1773251418561292500,0.17829248046875,-0.591217041015625,-1.1522369384765625,-0.2408599853515625
1773251418571328500,0.18832861328125,-0.5898284912109375,-1.1487579345703125,-0.2511138916015625
1773251418581364700,0.19836474609375,-0.59185791015625,-1.113067626953125,-0.2182769775390625
1773251418591401500,0.2084013671875,-0.6390838623046875,-1.062774658203125,-0.161773681640625
1773251418601437700,0.218437744140625,-0.6900634765625,-1.0135345458984375,-0.116668701171875
1773251418611473700,0.2284736328125,-0.71893310546875,-0.9677276611328125,-0.087249755859375
1773251418621510700,0.2385107421875,-0.7305145263671875,-0.9226837158203125,-0.07666015625
1773251418631546600,0.248546630859375,-0.728546142578125,-0.865142822265625,-0.0667266845703125
1773251418641583600,0.25858349609375,-0.725372314453125,-0.803436279296875,-0.0623931884765625
1773251418651619600,0.26861962890625,-0.7303009033203125,-0.73370361328125,-0.0899658203125
1773251418661655600,0.278655517578125,-0.7358245849609375,-0.68109130859375,-0.1017303466796875
1773251418671692500,0.288692626953125,-0.7268218994140625,-0.6513671875,-0.109954833984375
1773251418681728500,0.298728515625,-0.69580078125,-0.64166259765625,-0.1373291015625
1773251418691765500,0.308765625,-0.6341094970703125,-0.6503753662109375,-0.17266845703125
1773251418701801500,0.318801513671875,-0.5751800537109375,-0.6495513916015625,-0.1773834228515625
1773251418711837400,0.32883740234375,-0.5521240234375,-0.6207733154296875,-0.1607513427734375
1773251418721874700,0.338874755859375,-0.5205230712890625,-0.5878143310546875,-0.1112213134765625
1773251418731910700,0.34891064453125,-0.485015869140625,-0.5832366943359375,-0.0451507568359375
1773251418741947600,0.35894775390625,-0.46087646484375,-0.6119842529296875,0.0092315673828125
1773251418751983600,0.368983642578125,-0.4472503662109375,-0.639892578125,-0.0054168701171875
1773251418762019600,0.37901953125,-0.416534423828125,-0.6378021240234375,-0.0579681396484375
1773251418772056600,0.389056640625,-0.3752288818359375,-0.6164703369140625,-0.088409423828125
1773251418782092500,0.399092529296875,-0.3505401611328125,-0.60064697265625,-0.0972137451171875
1773251418792129500,0.409129638671875,-0.3197784423828125,-0.6108856201171875,-0.0518646240234375
1773251418802165500,0.41916552734375,-0.2843475341796875,-0.661376953125,-0.00225830078125
1773251418812201700,0.42920166015625,-0.2768402099609375,-0.722137451171875,-0.023468017578125
1773251418822238700,0.43923876953125,-0.2353515625,-0.7725372314453125,-0.0561065673828125
1773251418832274700,0.449274658203125,-0.1707916259765625,-0.81103515625,-0.0530853271484375
1773251418842310700,0.459310546875,-0.1667327880859375,-0.81640625,-0.045379638671875
1773251418852347600,0.46934765625,-0.1951446533203125,-0.7808685302734375,-0.0023345947265625
1773251418862383600,0.479383544921875,-0.2503814697265625,-0.732208251953125,0.0815887451171875
1773251418872420600,0.489420654296875,-0.3176116943359375,-0.6820831298828125,0.158477783203125
1773251418882456600,0.49945654296875,-0.3526153564453125,-0.6434173583984375,0.235107421875
1773251418892492500,0.509492431640625,-0.35430908203125,-0.64361572265625,0.334228515625
1773251418902529800,0.51952978515625,-0.3235626220703125,-0.7001495361328125,0.376556396484375
1773251418912565800,0.529565673828125,-0.2808685302734375,-0.74200439453125,0.3096160888671875
1773251418922602800,0.539602783203125,-0.23358154296875,-0.7755584716796875,0.269622802734375
1773251418932638700,0.549638671875,-0.2177276611328125,-0.842315673828125,0.249176025390625
1773251418942674700,0.5596748046875,-0.2216339111328125,-0.9221343994140625,0.1856842041015625
1773251418952711700,0.569711669921875,-0.2329559326171875,-0.9472808837890625,0.15362548828125
1773251418962747600,0.57974755859375,-0.2156829833984375,-0.90887451171875,0.2039947509765625
1773251418972784600,0.58978466796875,-0.1641693115234375,-0.87640380859375,0.314971923828125
1773251418982820600,0.599820556640625,-0.124298095703125,-0.8936309814453125,0.404998779296875
1773251418992856800,0.60985693359375,-0.1102447509765625,-0.9034576416015625,0.390350341796875
1773251419002893600,0.6198935546875,-0.0963134765625,-0.92041015625,0.3351593017578125
1773251419012929800,0.6299296875,-0.0680999755859375,-0.916961669921875,0.2927398681640625
1773251419022965800,0.6399658203125,-0.040374755859375,-0.9080810546875,0.2517242431640625
1773251419033002500,0.65000244140625,-0.0007171630859375,-0.940521240234375,0.2032012939453125
1773251419043038700,0.660038818359375,-0.0088043212890625,-0.9785308837890625,0.195526123046875
1773251419053075500,0.670075439453125,-0.026885986328125,-1.0067596435546875,0.157928466796875
1773251419063111400,0.680111328125,0.0198822021484375,-1.045074462890625,0.08990478515625
