time,seconds_elapsed,z,y,x
1773251345588168700,0.063168701171875,-0.3316802978515625,-0.9439239501953125,0.04150390625
1773251345598205400,0.073205322265625,-0.3393096923828125,-0.93157958984375,0.0189056396484375
1773251345608241700,0.08324169921875,-0.355621337890625,-0.9274139404296875,-0.0304412841796875
1773251345618277600,0.093277587890625,-0.392425537109375,-0.9211578369140625,-0.092681884765625
1773251345628314400,0.103314453125,-0.41650390625,-0.9140167236328125,-0.1370697021484375
1773251345638350600,0.1133505859375,-0.415313720703125,-0.9108734130859375,-0.14312744140625
1773251345648386600,0.123386474609375,-0.4020843505859375,-0.9139556884765625,-0.084991455078125
1773251345658423600,0.133423583984375,-0.406585693359375,-0.9403076171875,0.029541015625
1773251345668459800,0.143459716796875,-0.42218017578125,-0.9907684326171875,0.0810699462890625
1773251345678495700,0.153495849609375,-0.3969268798828125,-1.030487060546875,0.0720672607421875
1773251345688531700,0.16353173828125,-0.3602294921875,-1.0582733154296875,0.09033203125
1773251345698568700,0.173568603515625,-0.365753173828125,-1.0625457763671875,-0.014190673828125
1773251345708604700,0.183604736328125,-0.3752288818359375,-1.056396484375,-0.0659637451171875
1773251345718640600,0.193640625,-0.3761138916015625,-1.0596160888671875,-0.0551910400390625
1773251345728677600,0.203677734375,-0.3709564208984375,-1.0693511962890625,-0.0556640625
1773251345738713600,0.213713623046875,-0.35516357421875,-1.0955047607421875,-0.0398406982421875
1773251345748749600,0.22374951171875,-0.3508758544921875,-1.1195068359375,0.02105712890625
1773251345758786600,0.23378662109375,-0.378692626953125,-1.1266632080078125,0.066680908203125
1773251345768822800,0.24382275390625,-0.3943023681640625,-1.1204833984375,0.0238800048828125
1773251345778858800,0.253858642578125,-0.3838653564453125,-1.1080322265625,-0.0450592041015625
1773251345788895500,0.2638955078125,-0.39666748046875,-1.090728759765625,-0.07220458984375
1773251345798931700,0.273931640625,-0.4232025146484375,-1.07000732421875,-0.125640869140625
1773251345808967700,0.2839677734375,-0.410400390625,-1.043853759765625,-0.2095184326171875
1773251345819003600,0.294003662109375,-0.3907318115234375,-0.9990081787109375,-0.18707275390625
1773251345829040600,0.30404052734375,-0.427703857421875,-0.935089111328125,-0.0657196044921875
1773251345839076600,0.31407666015625,-0.4568023681640625,-0.882049560546875,0.04937744140625
1773251345849112600,0.324112548828125,-0.4327239990234375,-0.8511199951171875,0.1890411376953125
1773251345859149600,0.334149658203125,-0.3842620849609375,-0.83050537109375,0.1688079833984375
1773251345869185500,0.344185546875,-0.3758087158203125,-0.7971649169921875,0.1009979248046875
1773251345879221500,0.354221435546875,-0.367431640625,-0.7644500732421875,0.024993896484375
1773251345889258500,0.364258544921875,-0.354736328125,-0.705718994140625,-0.03131103515625
1773251345899294700,0.374294677734375,-0.3813934326171875,-0.6369171142578125,-0.0411224365234375
1773251345909330700,0.38433056640625,-0.3285980224609375,-0.6199798583984375,-0.031097412109375
1773251345919366700,0.39436669921875,-0.28717041015625,-0.6568145751953125,0.157958984375
1773251345929403600,0.404403564453125,-0.3113555908203125,-0.714385986328125,0.3836517333984375
1773251345939439600,0.414439697265625,-0.3660430908203125,-0.751983642578125,0.409210205078125
1773251345949475600,0.4244755859375,-0.3282470703125,-0.7628021240234375,0.254150390625
1773251345959512600,0.4345126953125,-0.2504425048828125,-0.7719879150390625,0.22686767578125
1773251345969548500,0.444548583984375,-0.19439697265625,-0.8016510009765625,0.2044525146484375
1773251345979584500,0.45458447265625,-0.1898345947265625,-0.8060455322265625,0.07269287109375
1773251345989621800,0.464621826171875,-0.130828857421875,-0.763092041015625,-0.0547332763671875
1773251345999657700,0.47465771484375,-0.0559234619140625,-0.7491912841796875,-0.0478515625
1773251346009693700,0.484693603515625,-0.0163116455078125,-0.844573974609375,0.058349609375
1773251346019730700,0.494730712890625,-0.058929443359375,-0.9474639892578125,0.20166015625
1773251346029766700,0.5047666015625,-0.1334381103515625,-1.0087127685546875,0.2344512939453125
1773251346039802600,0.514802734375,-0.1466522216796875,-1.04705810546875,0.187713623046875
