time,seconds_elapsed,z,y,x
1774896993846580500,0.07958056640625,-1.460978561002016,0.7505164617463946,0.44007074865400786
1774896993856618800,0.08961865234375,-1.30132692822814,0.9420315517708658,1.2318693611204623
1774896993866657500,0.099657470703125,-1.3005711414247751,0.9569505962222814,1.428651431762427
1774896993876695600,0.109695556640625,-0.7412766319751739,0.42773938260823485,1.2733562406323848
1774896993886734600,0.119734619140625,0.47174774342179293,-0.15147826319038868,0.9538356060069054
1774896993896772600,0.129772705078125,1.1954337736487388,-0.17448182989805935,0.671839011676982
1774896993906810600,0.139810546875,1.2788041307747364,0.5096978271096945,0.6038262000175193
1774896993916849700,0.149849609375,0.9321686216652393,1.2199576817914843,0.7411512520298361
1774896993926887400,0.159887451171875,0.27619477618336674,1.5672744511634111,0.5971897942103446
1774896993936926700,0.1699267578125,-0.48698856717348094,1.632023694449663,0.6185428172320128
1774896993946964500,0.179964599609375,-0.880706145453453,1.3937702341258524,0.9875877265483141
1774896993957002800,0.190002685546875,-1.0411521434754132,1.462675720308721,0.4064507300596684
1774896993967041500,0.20004150390625,-1.4062521145582199,1.2311363706707954,-0.19002448614053427
1774896993977079600,0.21007958984375,-1.6255781715720892,0.7265782445371151,-0.06841373887686059
1774896993987118600,0.22011865234375,-1.4036451469302176,0.3578673894807696,0.09691339138331823
1774896993997156600,0.230156494140625,-0.8566799576997757,-0.06913812589496374,-0.17528313634358345
1774896994007194600,0.240194580078125,-0.3509253152579069,-0.492066893351078,-0.45234168974943456
1774896994017233700,0.250233642578125,0.0006324526846408844,-0.5063327345907688,-0.2889793841556646
1774896994027271400,0.260271484375,0.31063363687992096,-0.27078444157242776,-0.41822884613685307
1774896994037310700,0.270310791015625,0.5513707307130098,-0.22924071730673312,-0.7151205925859511
1774896994047348500,0.280348388671875,0.671413406676054,-0.3562006253123283,-0.9568348608881234
1774896994057386800,0.29038671875,0.9367845910280942,-0.3359937035858631,-0.7377737384207547
1774896994067425500,0.300425537109375,0.9441378764003515,-0.5661415988653898,-0.14979370763693003
1774896994077463600,0.310463623046875,0.2559633045375347,-0.6113537825107574,0.4590044355742633
1774896994087502600,0.320502685546875,-0.884412014234066,-0.7766945668369531,0.9177486127771437
1774896994097540600,0.33054052734375,-2.2855787883520127,-1.9545219566464422,1.5228946266889571
1774896994107578600,0.34057861328125,-3.157807028317451,-2.4417063386529683,1.4816715126797555
1774896994117617700,0.35061767578125,-3.4599861405849457,-0.9541635958522557,1.0180771920319647
1774896994127655400,0.360655517578125,-4.216190292578935,0.8098954101711511,1.015166492217034
1774896994137694700,0.37069482421875,-4.657839250335097,1.6457687266856431,1.65846600343436
1774896994147732500,0.380732421875,-4.012763230964541,1.4279934062451123,1.965701230047643
1774896994157770800,0.390770751953125,-2.696386617642641,0.8127350175112485,1.4229764548659323
1774896994167809500,0.4008095703125,-0.975953987377882,0.30950492511093614,0.472753851724416
1774896994177847600,0.41084765625,0.8167921839475631,0.0380412691026926,-0.33283618940301235
1774896994187886600,0.420886474609375,1.689904221010208,-0.12047288407385348,-0.4383162331368774
1774896994197924600,0.430924560546875,1.8995096789985895,-0.02040975082218647,-0.05668262201286852
1774896994207962600,0.440962646484375,1.3832909256875514,0.060840545409917825,0.4543109805284068
1774896994218001700,0.451001708984375,0.513167549046874,-0.02570142748951912,1.5994503353640437
1774896994228039400,0.461039306640625,0.24410277087390422,0.4167839810907841,2.7356995141163467
1774896994238078700,0.47107861328125,0.41934594053328034,1.805275398030877,2.3949136078178883
1774896994248116500,0.481116455078125,-0.19332476979494093,2.660634336259961,0.8731080915398896
1774896994258154800,0.49115478515625,-0.7850619976878166,2.488056001895666,-1.168816181162372
1774896994268193500,0.501193603515625,-1.1751888579994438,2.2193857759982345,-3.9300437389627096
1774896994278231600,0.5112314453125,-1.875379154087603,1.3495564138680696,-10.687249762469529
1774896994288270600,0.5212705078125,-1.4328943300291894,0.7716378679692745,-10.680894840484857
1774896994298308600,0.53130859375,-1.2678040133327244,1.939742320665717,-1.9146203004993496
1774896994308346600,0.5413466796875,-1.684010779057443,2.1334727486521006,1.4981304800495505
1774896994318385700,0.5513857421875,-1.6795140521600842,1.627858975985646,1.3817583092927932
1774896994328423400,0.56142333984375,-1.2955138580352068,0.9350719418913126,0.4307833168813959
1774896994338462500,0.57146240234375,-1.454954478406906,0.8072235606133937,0.5512280343066901
1774896994348500500,0.58150048828125,-3.1932121036976575,1.3928355836242436,2.9167604301437735
